               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.022386,            0.027076,           0.0036635,              0.9955,             0.99348,             0.99458,              0.8917,            0.013215,            0.012212,          0.00094382,             0.00487,             0.00487,             0.00487
                 116,            0.022298,            0.026352,           0.0040015,             0.99586,             0.99528,             0.99455,             0.89391,            0.012495,            0.011747,          0.00090387,            0.004825,            0.004825,            0.004825
                 117,            0.022302,            0.026617,           0.0038699,             0.99448,             0.99617,             0.99449,             0.89608,            0.012745,            0.011688,          0.00089658,             0.00478,             0.00478,             0.00478
                 118,            0.022102,             0.02591,           0.0037536,             0.99338,             0.99607,             0.99457,             0.89858,            0.012586,            0.011779,          0.00092325,            0.004735,            0.004735,            0.004735
                 119,            0.022116,            0.026884,           0.0038684,             0.99354,             0.99492,             0.99465,              0.8942,            0.013129,            0.011672,          0.00092595,             0.00469,             0.00469,             0.00469
                 120,            0.021209,            0.024934,           0.0033994,             0.99433,             0.99749,             0.99462,             0.89102,            0.012828,            0.011906,          0.00083067,            0.004645,            0.004645,            0.004645
                 121,             0.02228,            0.025976,           0.0038403,             0.99468,             0.99533,             0.99455,             0.90517,             0.01162,            0.011407,          0.00084998,              0.0046,              0.0046,              0.0046
                 122,            0.020844,            0.024678,            0.003467,             0.99483,             0.99652,             0.99461,             0.90244,            0.012208,            0.011607,          0.00082255,            0.004555,            0.004555,            0.004555
                 123,            0.021646,            0.025557,            0.003421,             0.99533,             0.99673,             0.99466,             0.90322,            0.011871,            0.011462,           0.0008211,             0.00451,             0.00451,             0.00451
                 124,            0.021174,            0.025446,           0.0034798,             0.99495,             0.99587,             0.99461,             0.90353,            0.012124,            0.011724,          0.00086294,            0.004465,            0.004465,            0.004465
                 125,            0.021302,            0.025397,           0.0036602,             0.99404,             0.99636,             0.99462,             0.90416,            0.011879,            0.011387,          0.00086061,             0.00442,             0.00442,             0.00442
                 126,            0.021533,            0.025488,            0.003484,               0.995,             0.99642,             0.99465,             0.90348,            0.011774,            0.011521,          0.00081086,            0.004375,            0.004375,            0.004375
                 127,            0.021409,            0.025587,           0.0036423,             0.99492,             0.99659,             0.99467,             0.89609,            0.012071,            0.011438,          0.00079201,             0.00433,             0.00433,             0.00433
                 128,            0.022271,            0.025611,           0.0038427,             0.99484,             0.99678,             0.99462,             0.90951,            0.011322,            0.011231,           0.0008587,            0.004285,            0.004285,            0.004285
                 129,             0.02078,            0.023892,           0.0036158,             0.99424,             0.99533,             0.99463,             0.90431,            0.011296,             0.01117,          0.00088463,             0.00424,             0.00424,             0.00424
                 130,            0.020533,            0.023697,           0.0033293,             0.99479,             0.99742,             0.99469,             0.91355,            0.011411,            0.011075,          0.00077741,            0.004195,            0.004195,            0.004195
                 131,            0.021058,            0.025678,           0.0034393,             0.99461,              0.9984,             0.99459,             0.91041,            0.011652,            0.011217,          0.00074919,             0.00415,             0.00415,             0.00415
                 132,            0.020462,            0.023943,           0.0034107,              0.9954,             0.99811,             0.99463,             0.91122,            0.011544,            0.011285,          0.00078082,            0.004105,            0.004105,            0.004105
                 133,            0.019978,            0.025302,           0.0032111,             0.99543,             0.99687,             0.99463,             0.90976,            0.012046,            0.011485,          0.00087259,             0.00406,             0.00406,             0.00406
                 134,            0.020518,            0.024249,           0.0033118,             0.99574,             0.99593,             0.99466,             0.91236,            0.011255,            0.011134,          0.00087542,            0.004015,            0.004015,            0.004015
                 135,            0.020153,            0.023927,            0.003261,             0.99591,              0.9964,             0.99472,             0.90748,            0.011255,            0.011106,          0.00078281,             0.00397,             0.00397,             0.00397
                 136,            0.020171,            0.022957,            0.002956,             0.99612,             0.99454,             0.99471,             0.91113,            0.011307,            0.011105,          0.00071055,            0.003925,            0.003925,            0.003925
